123456;C02;666077;001;0007370433;20170124;11:51:40;ABC;STOCK;
00231434165004613684;S02;666077;001;0007370433;20170124;11:51:40;ABC;STOCK;
00231434167001465853;S01;622631;001;0007370631;20170305;11:16:21;DEF;0101;
00231434165003477331;C01;624611;001;0007370635;20170305;11:16:25;GHI;020603;
00231434167001465914;S02;624938;001;0007370636;20170305;11:16:26;ABC;STOCK;
00231434166002436060;S03;624460;001;0007370642;20170305;11:16:32;JKL;050101;
00231434165003630415;S03;624460;001;0007370643;20170305;11:16:33;JKL;050301;
00231434167001502800;S03;629475;001;0007370645;20170305;11:16:55;JKL;051702;
00231434167001520491;S01;632095;001;0007370647;20170305;11:16:58;DEF;0404;
00231434166002514898;S03;635815;001;0007370652;20170305;11:17:19;JKL;052101;
00231434167001543193;S03;635149;001;0007370653;20170305;11:17:20;JKL;032202;
00231434165003960307;S03;637544;001;0007370654;20170305;11:17:22;MNO;STOCK;
00231434165003954979;S01;639409;001;0007370657;20170305;11:17:26;MNO;STOCK;
00231434166002561137;C01;641491;001;0007370658;20170305;11:17:27;GHI;060207;
00231434165003588877;S02;624180;001;0007370754;20170414;17:36:20;ABC;STOCK;
00231434167001570724;C02;640769;001;0007370755;20170415;08:37:03;PQR;01;
00231434165004616579;C01;666213;001;0007374991;20170901;14:22:22;GHI;041905;
00231434165004616586;C01;666213;001;0007374992;20170901;14:22:25;GHI;043305;
00231434165004616593;C01;666213;001;0007374993;20170901;14:22:28;GHI;050405;
00231434165004616609;C01;666213;001;0007374994;20170901;14:22:31;GHI;050605;
00231434165004617125;C01;45266682731;001;0005375398;20171006;15:50:22;GHI;030105;
00231434165004617132;C01;45266682731;001;0005375399;20171006;16:15:15;GHI;033205;
